full_name,party,offical_post,constituency,twitter_handle,uri,last_updated
"Rt Hon Michael Fallon MP","Conservative","Minister of State, Department of Energy and Climate Change","Sevenoaks","TWITTER_UNKNOWN","http://dbpedia.org/resource/Michael_Fallon",2014-04-15T16:09:13+01:00
"Paul Farrelly MP","Labour","","Newcastle-under-Lyme","TWITTER_UNKNOWN","http://dbpedia.org/resource/Paul_Farrelly",2014-04-15T16:09:13+01:00
"Tim Farron MP","Liberal Democrat","","Westmorland and Lonsdale","https://twitter.com/timfarron","http://dbpedia.org/resource/Tim_Farron",2014-04-15T16:09:13+01:00
"Lynne Featherstone MP","Liberal Democrat","The Parliamentary Under-Secretary of State for International Development","Hornsey and Wood Green","https://twitter.com/lfeatherstone","http://dbpedia.org/resource/Lynne_Featherstone",2014-04-15T16:09:14+01:00
"Rt Hon Frank Field MP","Labour","","Birkenhead","https://twitter.com/frankfieldteam","http://dbpedia.org/resource/Frank_Field_(politician)",2014-04-15T16:09:14+01:00
"Mark Field MP","Conservative","","Cities of London and Westminster","https://twitter.com/MarkFieldMP","http://dbpedia.org/resource/Mark_Field",2014-04-15T16:09:14+01:00
"Jim Fitzpatrick MP","Labour","","Poplar and Limehouse","TWITTER_UNKNOWN","http://dbpedia.org/resource/Jim_Fitzpatrick_(politician)",2014-04-15T16:09:14+01:00
"Robert Flello MP","Labour","","Stoke-on-Trent South","https://twitter.com/RobFlelloMP","http://dbpedia.org/resource/Robert_Flello",2014-04-15T16:09:15+01:00
"Rt Hon Caroline Flint MP","Labour","Shadow Secretary of State for Energy and Climate Change","Don Valley","https://twitter.com/CarolineFlintMP","http://dbpedia.org/resource/Caroline_Flint",2014-04-15T16:09:15+01:00
"Paul Flynn MP","Labour","","Newport West","https://twitter.com/Paulflynnmp","http://dbpedia.org/resource/Paul_Flynn_(politician)",2014-04-15T16:09:16+01:00
"Rt Hon Don Foster MP","Liberal Democrat","Comptroller (HM Household) (Deputy Chief Whip, House of Commons)","Bath","https://twitter.com/DonFosterMP","http://dbpedia.org/resource/Don_Foster_(politician)",2014-04-15T16:09:16+01:00
"Yvonne Fovargue MP","Labour","Shadow Minister (Defence)","Makerfield","https://twitter.com/Y_FovargueMP","http://dbpedia.org/resource/Yvonne_Fovargue",2014-04-15T16:09:16+01:00
"Rt Hon Dr Liam Fox MP","Conservative","","North Somerset","https://twitter.com/LiamFoxMP","URI_UNKNOWN",2014-04-15T16:09:17+01:00
"Dr Hywel Francis MP","Labour","","Aberavon","TWITTER_UNKNOWN","http://dbpedia.org/resource/Hywel_Francis",2014-04-15T16:09:17+01:00
"Rt Hon Mark Francois MP","Conservative","The Minister of State, Ministry of Defence","Rayleigh and Wickford","TWITTER_UNKNOWN","http://dbpedia.org/resource/Mark_Francois",2014-04-15T16:09:17+01:00
"George Freeman MP","Conservative","","Mid Norfolk","https://twitter.com/Freeman_George","http://dbpedia.org/resource/George_Freeman_(politician)",2014-04-15T16:09:17+01:00
"Mike Freer MP","Conservative","","Finchley and Golders Green","https://twitter.com/mikefreermp","http://dbpedia.org/resource/Mike_Freer",2014-04-15T16:09:18+01:00
"Lorraine Fullbrook MP","Conservative","","South Ribble","TWITTER_UNKNOWN","http://dbpedia.org/resource/Lorraine_Fullbrook",2014-04-15T16:09:18+01:00
"Richard Fuller MP","Conservative","","Bedford","TWITTER_UNKNOWN","http://dbpedia.org/resource/Richard_Fuller_(politician)",2014-04-15T16:09:18+01:00
"Sir Roger Gale MP","Conservative","","North Thanet","TWITTER_UNKNOWN","http://dbpedia.org/resource/Roger_Gale",2014-04-15T16:09:19+01:00
"Mr George Galloway","Respect","","Bradford West","https://twitter.com/georgegalloway","http://dbpedia.org/resource/George_Galloway",2014-04-15T16:09:19+01:00
"Mike Gapes MP","Labour (Co-op)","","Ilford South","https://twitter.com/MikeGapes","http://dbpedia.org/resource/Mike_Gapes",2014-04-15T16:09:20+01:00
"Barry Gardiner MP","Labour","","Brent North","https://twitter.com/BarryGardiner","http://dbpedia.org/resource/Barry_Gardiner",2014-04-15T16:09:20+01:00
"Sir Edward Garnier QC MP","Conservative","","Harborough","TWITTER_UNKNOWN","URI_UNKNOWN",2014-04-15T16:09:20+01:00
"Mark Garnier MP","Conservative","","Wyre Forest","https://twitter.com/Mark4WyreForest","http://dbpedia.org/resource/Mark_Garnier",2014-04-15T16:09:20+01:00
"Mr David Gauke MP","Conservative","","South West Hertfordshire","TWITTER_UNKNOWN","http://dbpedia.org/resource/David_Gauke",2014-04-15T16:09:21+01:00
"Andrew George MP","Liberal Democrat","","St Ives","https://twitter.com/AndrewGeorgeLD","http://dbpedia.org/resource/George_W._Andrews",2014-04-15T16:09:21+01:00
"Mr Nick Gibb MP","Conservative","","Bognor Regis and Littlehampton","TWITTER_UNKNOWN","http://dbpedia.org/resource/Nick_Gibb",2014-04-15T16:09:21+01:00
"Stephen Gilbert MP","Liberal Democrat","","St Austell and Newquay","https://twitter.com/stephen_gilbert","URI_UNKNOWN",2014-04-15T16:09:22+01:00
"Michelle Gildernew MP","Sinn Fein","","Fermanagh and South Tyrone","https://twitter.com/gildernewmp","http://dbpedia.org/resource/Michelle_Gildernew",2014-04-15T16:09:22+01:00
"Rt Hon Cheryl Gillan MP","Conservative","","Chesham and Amersham","https://twitter.com/CherylGillanMP","http://dbpedia.org/resource/Cheryl_Gillan",2014-04-15T16:09:22+01:00
"Sheila Gilmore MP","Labour","","Edinburgh East","https://twitter.com/SheilaGilmoreMP","http://dbpedia.org/resource/Sheila_Gilmore",2014-04-15T16:09:22+01:00
"Pat Glass MP","Labour","","North West Durham","https://twitter.com/PatGlassMP","http://dbpedia.org/resource/Pat_Glass",2014-04-15T16:09:22+01:00
